"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"30","Disney Lilo &amp; Stitch Stitch Day Ohana Means Family T-Shirt","http://www.amazon.com//dp/B08CBKWY9D","Visit the Disney Store","1","83","$22.99","Clothing, Shoes &amp; Jewelry","71,813","18","$414","466 ","4.8","-"
"31","Disney Mickey And Friends Sunshine And Good Vibes Big Logo T-Shirt","http://www.amazon.com//dp/B0CYK49ZBF","Visit the Disney Store","1","163","$22.99","Clothing, Shoes &amp; Jewelry","74,037","18","$414","22 ","4.6","-"
"32","Disney - Mickey Baseball Diamond T-Shirt","http://www.amazon.com//dp/B0C1T973TQ","Visit the Disney Store","1","280","$22.99","Clothing, Shoes &amp; Jewelry","72,386","18","$414","43 ","4.4","-"
"33","Disney Lilo &amp; Stitch Tropical Breakout T-Shirt","http://www.amazon.com//dp/B0B9HWBZ62","Visit the Disney Store","1","609","$22.99","Clothing, Shoes &amp; Jewelry","65,351","19","$437","134 ","4.6","-"
"34","Jeep Flag Wordmark Logo T-Shirt","http://www.amazon.com//dp/B0B176M3CR","Visit the Jeep Store","1","173","$24.99","Clothing, Shoes &amp; Jewelry","113,138","17","$425","260 ","4.7","-"
"35","Star Wars Classic Bright Neon Poster Art Disney+ T-Shirt","http://www.amazon.com//dp/B07PKDV3VB","Visit the STAR WARS Store","1","349","$22.99","Clothing, Shoes &amp; Jewelry","77,461","18","$414","656 ","4.6","-"
"36","Disney Lilo &amp; Stitch 4th Of July Born To Sparkle Americana T-Shirt","http://www.amazon.com//dp/B0C2JL7DTF","Visit the Disney Store","1","308","$22.99","Clothing, Shoes &amp; Jewelry","53,898","20","$460","37 ","4.4","-"
"37","Cricut Men's T-Shirt Blank, Crew Neck","http://www.amazon.com//dp/B07T94JQ8N","Visit the Cricut Store","1","1","$8.99","Arts, Crafts &amp; Sewing","24,476","&lt; 5","$45","2 ","4.7","-"
"38","Disney Pixar Cars Lightning McQueen Big Face Short Sleeve T-Shirt","http://www.amazon.com//dp/B082X81R6P","Visit the Disney Store","1","1","$22.99","Clothing, Shoes &amp; Jewelry","48,306","21","$483","740 ","4.6","-"
"39","Disney Mickey Mouse Red White and Blue Stars T-Shirt","http://www.amazon.com//dp/B08CRT5WRL","Visit the Disney Store","1","413","$22.99","Clothing, Shoes &amp; Jewelry","112,866","17","$391","160 ","4.4","-"
"40","Disney Mickey Mouse and Donald Duck Best Friends T-Shirt","http://www.amazon.com//dp/B07RJ2JPRJ","Visit the Disney Store","1","527","$22.99","Clothing, Shoes &amp; Jewelry","123,729","17","$391","552 ","4.6","-"
"41","Star Wars - Ship Flag Americana T-Shirt","http://www.amazon.com//dp/B0DQF6CN88","Visit the STAR WARS Store","1","147","$22.99","Clothing, Shoes &amp; Jewelry","146,991","16","$368","4 ","4.4","-"
"42","Pokémon - Gengar T-Shirt","http://www.amazon.com//dp/B0CB1RYS8Q","Visit the Pokemon Store","1","222","$22.99","Clothing, Shoes &amp; Jewelry","93,249","17","$391","182 ","4.7","-"
